ObjectID,Year,Geographic Indentifier,State FIPS Code,County FIPS Code,State Name,County Name,Postal Code,Population,Latitude,Longitude,Near GNIS FID,Near GNIS Distance,GNIS Feature Name,GNIS Feature Class,County Name,x,y
1,2000,01001,01,001,Alabama,Autauga,AL,43671,32.500323,-86.501832,78375,0.0158034210935595,Burt Cemetery,Cemetery,Autauga,-86.501832,32.500323
2,2000,01003,01,003,Alabama,Baldwin,AL,140415,30.565383,-87.76054,89915,0.0102858919866262,Silverhill Cemetery,Cemetery,Baldwin,-87.7605399999999,30.5653830000001
3,2000,01005,01,005,Alabama,Barbour,AL,29038,31.847869,-85.306746,116758,0.0294141568373298,Cotton Hill,Populated Place,Barbour,-85.306746,31.8478690000001
4,2000,01007,01,007,Alabama,Bibb,AL,20826,33.025947,-87.127019,101183,0.00703554257893439,Lone Star School (historical),School,Bibb,-87.127019,33.025947
5,2000,01009,01,009,Alabama,Blount,AL,51024,33.962601,-86.582617,82423,0.00561112616591343,Greens Chapel,Locale,Blount,-86.582617,33.9626010000001
6,2000,01011,01,011,Alabama,Bullock,AL,11714,32.114144,-85.702783,121909,0.018747245815885,Bullock County,Civil,Bullock,-85.702783,32.1141440000001
7,2000,01013,01,013,Alabama,Butler,AL,21399,31.771916,-86.656062,79066,0.00533063278233135,Lake Charold,Reservoir,Butler,-86.656062,31.771916
8,2000,01015,01,015,Alabama,Calhoun,AL,112249,33.722127,-85.822048,103611,0.00264555242810998,Blue Springs (historical),Populated Place,Calhoun,-85.8220479999999,33.7221270000001
9,2000,01017,01,017,Alabama,Chambers,AL,36583,32.86135,-85.265864,88636,0.0111536461931113,Rest Haven Memorial Gardens,Cemetery,Chambers,-85.265864,32.8613500000001
10,2000,01019,01,019,Alabama,Cherokee,AL,23988,34.179934,-85.6271,99715,0.00881292512735377,Hardwick Ferry (historical),Crossing,Cherokee,-85.6271,34.1799340000001
11,2000,01021,01,021,Alabama,Chilton,AL,39593,32.873767,-86.690393,82580,0.01035888396738,Gum Swamp,Swamp,Chilton,-86.690393,32.873767
12,2000,01023,01,023,Alabama,Choctaw,AL,15922,32.022546,-88.261777,121915,0.00326251889340121,Choctaw County,Civil,Choctaw,-88.2617769999999,32.022546
13,2000,01025,01,025,Alabama,Clarke,AL,27867,31.688185,-87.814619,1604565,0.0197930751310238,Pugh Cemetery,Cemetery,Clarke,-87.8146189999999,31.688185
14,2000,01027,01,027,Alabama,Clay,AL,14254,33.271389,-85.818841,122369,0.00817069611050455,Clay County Hospital,Hospital,Clay,-85.818841,33.2713890000001
15,2000,01029,01,029,Alabama,Cleburne,AL,14123,33.623107,-85.500911,84047,0.00632846218445884,Johnywady Creek,Stream,Cleburne,-85.500911,33.6231070000001
16,2000,01031,01,031,Alabama,Coffee,AL,43615,31.356766,-85.915827,98190,0.00385193039399303,Martin Spring Branch,Stream,Coffee,-85.915827,31.3567660000001
17,2000,01033,01,033,Alabama,Colbert,AL,54984,34.72299,-87.687401,96069,0.00244867398604126,Trenholm High School,School,Colbert,-87.687401,34.72299
18,2000,01035,01,035,Alabama,Conecuh,AL,14089,31.417059,-86.995692,108414,0.00158607304369052,Fairview Baptist Church,Church,Conecuh,-86.995692,31.4170590000001
19,2000,01037,01,037,Alabama,Coosa,AL,12202,32.978756,-86.151949,120553,0.0145379761744905,Mill Creek,Stream,Coosa,-86.1519489999999,32.978756
20,2000,01039,01,039,Alabama,Covington,AL,37631,31.283897,-86.411489,85824,0.0176968801219414,Mill Creek,Stream,Covington,-86.411489,31.283897
21,2000,01041,01,041,Alabama,Crenshaw,AL,13665,31.741562,-86.298379,1632676,0.00924670803958967,Rutledge Cemetery,Cemetery,Crenshaw,-86.298379,31.741562
22,2000,01043,01,043,Alabama,Cullman,AL,77483,34.162156,-86.831714,115388,0.00547638977516826,Town Square Shopping Center,Locale,Cullman,-86.831714,34.162156
23,2000,01045,01,045,Alabama,Dale,AL,49129,31.387656,-85.641948,2038328,0.0047826000962018,Victory Tabernacle Church,Church,Dale,-85.641948,31.3876560000001
24,2000,01047,01,047,Alabama,Dallas,AL,46365,32.405732,-87.034511,84996,0.00169646432619244,Live Oak Cemetery,Cemetery,Dallas,-87.034511,32.4057320000001
25,2000,01049,01,049,Alabama,DeKalb,AL,64452,34.459779,-85.810181,121928,0.0060373127341584,DeKalb County,Civil,DeKalb,-85.8101809999999,34.459779
26,2000,01051,01,051,Alabama,Elmore,AL,65874,32.564913,-86.218197,100095,0.0090004552045606,Quail Walk Golf Course,Locale,Elmore,-86.218197,32.564913
27,2000,01053,01,053,Alabama,Escambia,AL,38440,31.086381,-87.281965,111956,0.015625262085779,Hall Creek Oil Field,Oilfield,Escambia,-87.281965,31.0863810000001
