County,Source of supply,Principal aquifer,Groundwater withdrawal (Mgal/d),Major river basin,Surface water withdrawal (Mgal/d)
Anderson,Clinch River,--,--,Upper Tennessee,0.524
Bradley,Hiwassee River,--,--,Middle Tennessee-Hiwassee,3.81
Carter,Well #1 & #2,Cambrian-Ordovician carbonate,0.134,--,--
Cocke,Well fields,Cambrian-Ordovician carbonate,0.214,--,--
Coffee,Well,Mississippian carbonate,0.020,--,--
Coffee,Well,Mississippian carbonate,0.023,--,--
Coffee,Well,Mississippian carbonate,0.041,--,--
Coffee,Well,Mississippian carbonate,0.044,--,--
Coffee,Well,Mississippian carbonate,0.056,--,--
Coffee,Well,Mississippian carbonate,0.091,--,--
Coffee,Well,Mississippian carbonate,0.138,--,--
Coffee,Cascade Creek,--,--,Lower Tennessee,0.141
Coffee,Well,Mississippian carbonate,0.365,--,--
Decatur,Tennessee River,--,--,Lower Tennessee,0.005
Franklin,Well,Mississippian carbonate,0.023,--,--
Franklin,Primary Pumping Station,--,--,Middle Tennessee-Elk,34.3
Greene,Sinking Creek,--,--,French Broad-Holston,1.47
Hamilton,Well,Cambrian-Ordovician carbonate,0.0002,--,--
Hamilton,Well,Cambrian-Ordovician carbonate,0.040,--,--
Hamilton,Well,Cambrian-Ordovician carbonate,0.072,--,--
Hamilton,Well #1,Cambrian-Ordovician carbonate,0.145,--,--
Hamilton,Well #2,Cambrian-Ordovician carbonate,0.241,--,--
Hamilton,CCI #1 & #2,Cambrian-Ordovician carbonate,0.754,--,--
Hamilton,3 Wells,Cambrian-Ordovician carbonate,2.93,--,--
Hamilton,Tennessee River,--,--,Middle Tennessee-Hiwassee,0.240
Hamilton,Tennessee River,--,--,Middle Tennessee-Hiwassee,0.437
Hamilton,Tennessee River,--,--,Middle Tennessee-Hiwassee,0.675
Hamilton,Tennessee River,--,--,Middle Tennessee-Hiwassee,4.74
Hardin,Tennessee River,--,--,Middle Tennessee-Elk,25.0
Hawkins,Holston River,--,--,French Broad-Holston,0.143
Hawkins,Holston River,--,--,French Broad-Holston,0.494
Humphreys,Well field,Mississippian carbonate,0.013,--,--
Humphreys,Tennessee River,--,--,Lower Tennessee,4.27
Humphreys,Tennessee River,--,--,Lower Tennessee,66.0
Jefferson,Holding pond,--,--,French Broad-Holston,1.26
Jefferson,Lyons Creek,--,--,French Broad-Holston,0.007
Johnson,"Combined (001,002,003)",Crystalline rock,0.004,--,--
Knox,Well A,Cambrian-Ordovician carbonate,0.032,--,--
Knox,Well,Cambrian-Ordovician carbonate,0.047,--,--
Knox,On site wells,Cambrian-Ordovician carbonate,0.277,--,--
Knox,On site wells,Cambrian-Ordovician carbonate,0.278,--,--
Knox,Holston River/Quarry,--,--,French Broad-Holston,1.95
Louden,Well Field,Cambrian-Ordovician carbonate,0.014,--,--
Louden,Tennessee River-Watts Bar,--,--,Upper Tennessee,1.58
Louden,Tennessee River,--,--,Upper Tennessee,4.09
Maury,West Fork Creek,--,--,Lower Tennessee,0.122
McMinn,Hiwassee River,--,--,Middle Tennessee-Hiwassee,26.7
McMinn,Hiwassee River (RW2/1),--,--,Middle Tennessee-Hiwassee,35.2
Moore,Cave Spring,Ordovician carbonate,0.193,--,--
Moore,Tims Ford Lake,--,--,Middle Tennessee-Elk,0.553
Polk,Coletown Spring,Crystalline rock,0.016,--,--
Polk,Calloway Mine,Crystalline rock,0.078,--,--
Polk,Mary Mine,Crystalline rock,0.107,--,--
Polk,Davis Mill Creek,--,--,Middle Tennessee-Hiwassee,2.16
Sevier,Well#1,Cambrian-Ordovician carbonate,0.012,--,--
Sevier,Well#2,Cambrian-Ordovician carbonate,0.027,--,--
Sullivan,Surface water,--,--,French Broad-Holston,0.129
Sullivan,South Holston River,--,--,French Broad-Holston,10.0
Sullivan,South Fork of Holston River,--,--,French Broad-Holston,17.3
Sullivan,Holston River area B,--,--,French Broad-Holston,18.9
Sullivan,South Fork Holston River,--,--,French Broad-Holston,58.5
Sullivan,South Fork Holston River,--,--,French Broad-Holston,104
Sullivan,South Fork Holston River,--,--,French Broad-Holston,279
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
