OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Region,District,Grand,Commission,FarmBureau,Shape__Area,Shape__Length,HD_Cases,DeadDeerCount
1,47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860, ,A,1404935852,86587760,+35.1607616,-085.1977114,3,32,East,4,3,16055054290.3477,650912.052239895,,
2,47,115,01639770,47115,Marion,Marion County,06,H1,G4020,174,16860, ,A,1290244621,36484742,+35.1334215,-085.6183990,3,32,East,4,3,14281441599.7501,528655.888705447,,
3,47,185,01639800,47185,White,White County,06,H1,G4020, , , ,A,975592097,7113368,+35.9270486,-085.4557854,3,31,Middle,3,4,10576664499.1627,603207.582493633,,
4,47,129,01639778,47129,Morgan,Morgan County,06,H1,G4020,314,28940, ,A,1352439653,823017,+36.1386970,-084.6392616,3,31,East,2,4,14565281811.6639,623544.645736072,,
5,47,013,01639728,47013,Campbell,Campbell County,06,H1,G4020,314,28940, ,A,1243615772,46494677,+36.4015922,-084.1592495,4,41,East,2,5,13886558610.9771,668417.596960405,,
6,47,123,01639776,47123,Monroe,Monroe County,06,H1,G4020, , , ,A,1646324247,43852639,+35.4478181,-084.2497050,3,32,East,4,3,18191878882.889,848575.81933197,,
7,47,149,01639787,47149,Rutherford,Rutherford County,06,H1,G4020,400,34980, ,A,1604151408,12142906,+35.8433688,-086.4172127,2,21,Middle,5,2,17395844975.7061,823491.907178446,,
8,47,159,01639791,47159,Smith,Smith County,06,H1,G4020,400,34980, ,A,814016768,28694080,+36.2556502,-085.9420777,2,21,Middle,3,4,9070390251.65918,526141.255518694,,
9,47,169,01648581,47169,Trousdale,Trousdale County,06,H6,G4020,400,34980, ,C,296143573,5960720,+36.3930297,-086.1566909,2,21,Middle,3,4,3251784424.27454,323684.796825142,,
10,47,165,01639794,47165,Sumner,Sumner County,06,H1,G4020,400,34980, ,A,1371067660,35857194,+36.4734430,-086.4597975,2,21,Middle,5,2,15144294457.9778,647848.210751142,,
